data;hora;temperatura;umidade_relativa
27/09/19;21:45:00;15.1;95
27/09/19;22:00:00;14.3;97.4
27/09/19;22:15:00;13.9;99.6
27/09/19;22:30:00;13.7;99.9
27/09/19;22:45:00;13.6;99.9
27/09/19;23:00:00;13.7;99.9
27/09/19;23:15:00;13.6;99.9
27/09/19;23:30:00;13.4;99.9
27/09/19;23:45:00;13.3;99.9
28/09/19;00:00:00;13.4;99.9
28/09/19;00:15:00;13.2;99.9
28/09/19;00:30:00;13.1;99.9
28/09/19;00:45:00;12.9;99.9
28/09/19;01:00:00;12.9;99.9
28/09/19;01:15:00;13;99.9
28/09/19;01:30:00;12.9;99.9
28/09/19;01:45:00;12.7;99.9
28/09/19;02:00:00;12.5;99.9
28/09/19;02:15:00;12.5;99.9
28/09/19;02:30:00;12.6;99.9
28/09/19;02:45:00;12.5;99.9
28/09/19;03:00:00;12.7;99.9
28/09/19;03:15:00;12.7;99.9
28/09/19;03:30:00;12.5;99.9
28/09/19;03:45:00;12.4;99.9
28/09/19;04:00:00;12.4;99.9
28/09/19;04:15:00;12.3;99.9
28/09/19;04:30:00;12.3;99.9
28/09/19;04:45:00;12.3;99.9
28/09/19;05:00:00;12.3;99.9
28/09/19;05:15:00;12.3;99.9
28/09/19;05:30:00;12.3;99.9
28/09/19;05:45:00;12.3;99.9
28/09/19;06:00:00;12.2;99.9
28/09/19;06:15:00;12.3;99.9
28/09/19;06:30:00;12.4;99.9
28/09/19;06:45:00;12.4;99.9
28/09/19;07:00:00;12.7;99.9
28/09/19;07:15:00;13;99.9
28/09/19;07:30:00;13.2;99.9
28/09/19;07:45:00;13.4;99.9
28/09/19;08:00:00;13.5;99.9
28/09/19;08:15:00;14.1;99.9
28/09/19;08:30:00;14.1;99.9
28/09/19;08:45:00;14.3;99.9
28/09/19;09:00:00;14.3;99.9
28/09/19;09:15:00;14.6;99.9
28/09/19;09:30:00;14.7;99.9
28/09/19;09:45:00;15.1;99.9
28/09/19;10:00:00;15.4;99.9
28/09/19;10:15:00;14.9;99.4
28/09/19;10:30:00;14.7;99.9
28/09/19;10:45:00;14.8;99.9
28/09/19;11:00:00;14.9;99.9
28/09/19;11:15:00;14.8;99.9
28/09/19;11:30:00;15.1;99.9
28/09/19;11:45:00;15.3;99.9
28/09/19;12:00:00;15.7;99.9
28/09/19;12:15:00;15.7;99.9
28/09/19;12:30:00;15.9;99.9
28/09/19;12:45:00;16.6;99.3
28/09/19;13:00:00;16.3;99.9
28/09/19;13:15:00;16.3;99.9
28/09/19;13:30:00;16.3;99.9
28/09/19;13:45:00;15.6;99.7
28/09/19;14:00:00;16;99.9
28/09/19;14:15:00;16;99.9
28/09/19;14:30:00;15.7;99.9
28/09/19;14:45:00;15.6;99.7
28/09/19;15:00:00;15;99.9
28/09/19;15:15:00;14.9;99.9
28/09/19;15:30:00;14.5;99.9
28/09/19;15:45:00;14.4;99.9
28/09/19;16:00:00;13.9;99.9
28/09/19;16:15:00;13.3;99.9
28/09/19;16:30:00;13.2;99.9
28/09/19;16:45:00;12.8;99.9
28/09/19;17:00:00;12.5;99.9
28/09/19;17:15:00;12.5;99.9
28/09/19;17:30:00;12.2;99.9
28/09/19;17:45:00;11.9;99.9
28/09/19;18:00:00;11.9;99.9
28/09/19;18:15:00;11.8;99.9
28/09/19;18:30:00;11.7;99.9
28/09/19;18:45:00;11.7;99.9
28/09/19;19:00:00;11.6;99.9
28/09/19;19:15:00;11.6;99.9
28/09/19;19:30:00;11.6;99.9
28/09/19;19:45:00;11.5;99.9
28/09/19;20:00:00;11.5;99.9
28/09/19;20:15:00;11.5;99.9
28/09/19;20:30:00;11.4;99.9
28/09/19;20:45:00;11.5;99.9
28/09/19;21:00:00;11.3;99.9
28/09/19;21:15:00;11.3;99.9
28/09/19;21:30:00;11.4;99.9
28/09/19;21:45:00;11.1;99.9
28/09/19;22:00:00;11.2;99.9
28/09/19;22:15:00;11.2;99.9
28/09/19;22:30:00;11.2;99.9
28/09/19;22:45:00;11.2;99.9
28/09/19;23:00:00;11.3;99.9
28/09/19;23:15:00;11.2;99.9
28/09/19;23:30:00;11.2;99.9
28/09/19;23:45:00;11.2;99.9
29/09/19;00:00:00;11.3;99.9
29/09/19;00:15:00;11.3;99.9
29/09/19;00:30:00;11.3;99.9
29/09/19;00:45:00;11.4;99.9
29/09/19;01:00:00;11.3;99.9
29/09/19;01:15:00;11.3;99.9
29/09/19;01:30:00;11.4;99.9
29/09/19;01:45:00;11.3;99.9
29/09/19;02:00:00;11.3;99.9
29/09/19;02:15:00;11.3;99.9
29/09/19;02:30:00;11.3;99.9
29/09/19;02:45:00;11.2;99.9
29/09/19;03:00:00;11.3;99.9
29/09/19;03:15:00;11.2;99.9
29/09/19;03:30:00;11.2;99.9
29/09/19;03:45:00;11.4;99.9
29/09/19;04:00:00;11.3;99.9
29/09/19;04:15:00;11.3;99.9
29/09/19;04:30:00;11.4;99.9
29/09/19;04:45:00;11.2;99.9
29/09/19;05:00:00;11.2;99.9
29/09/19;05:15:00;11;99.9
29/09/19;05:30:00;10.8;99.9
29/09/19;05:45:00;10.9;99.9
29/09/19;06:00:00;10.9;99.9
29/09/19;06:15:00;11.2;99.9
29/09/19;06:30:00;11.1;99.9
29/09/19;06:45:00;11.3;99.9
29/09/19;07:00:00;11.7;99.9
29/09/19;07:15:00;12;99.9
29/09/19;07:30:00;12.2;99.9
29/09/19;07:45:00;12.6;99.9
29/09/19;08:00:00;13.3;99.9
29/09/19;08:15:00;14.1;99.9
29/09/19;08:30:00;13.9;99.9
29/09/19;08:45:00;15.2;99.9
29/09/19;09:00:00;15.8;99.9
29/09/19;09:15:00;15.8;99.9
29/09/19;09:30:00;15.9;99.9
29/09/19;09:45:00;15.9;99.9
29/09/19;10:00:00;15.9;99.9
29/09/19;10:15:00;16.6;99.4
29/09/19;10:30:00;16.5;99.9
29/09/19;10:45:00;17.1;99.9
29/09/19;11:00:00;18.7;97.9
29/09/19;11:15:00;17.1;99.9
29/09/19;11:30:00;17.7;99.5
29/09/19;11:45:00;17.8;98.1
29/09/19;12:00:00;18.8;96.4
29/09/19;12:15:00;18.7;96.2
29/09/19;12:30:00;18.6;97.8
29/09/19;12:45:00;17.8;97.8
29/09/19;13:00:00;16.4;99.9
29/09/19;13:15:00;16.4;99.9
29/09/19;13:30:00;16.2;99.9
29/09/19;13:45:00;16.1;99.9
29/09/19;14:00:00;16.9;99.9
29/09/19;14:15:00;17.2;99.9
29/09/19;14:30:00;16.3;99.9
29/09/19;14:45:00;16.3;99.9
29/09/19;15:00:00;16.5;99.9
29/09/19;15:15:00;15.4;99.9
29/09/19;15:30:00;15.9;99.9
29/09/19;15:45:00;15.9;99.9
29/09/19;16:00:00;15.4;99.9
29/09/19;16:30:00;14.9;99.9
29/09/19;16:45:00;14.9;99.9
29/09/19;17:00:00;14.6;99.9
29/09/19;17:15:00;14;99.9
29/09/19;17:30:00;14;99.9
29/09/19;17:45:00;13.7;99.9
29/09/19;18:00:00;13.3;99.9
29/09/19;18:15:00;12.9;99.9
29/09/19;18:30:00;12.8;99.9
29/09/19;18:45:00;12.8;99.9
29/09/19;19:00:00;12.8;99.9
29/09/19;19:15:00;12.6;99.9
29/09/19;19:30:00;12.5;99.9
29/09/19;19:45:00;12.4;99.9
29/09/19;20:00:00;12.2;99.9
29/09/19;20:15:00;12.2;99.9
29/09/19;20:30:00;12.1;99.9
29/09/19;20:45:00;12.1;99.9
29/09/19;21:00:00;12.1;99.9
29/09/19;21:15:00;11.8;99.9
29/09/19;21:30:00;12;99.9
29/09/19;21:45:00;12.1;99.9
29/09/19;22:00:00;12.1;99.9
29/09/19;22:15:00;12.3;99.9
29/09/19;22:30:00;12.4;99.9
29/09/19;22:45:00;12.3;99.9
29/09/19;23:00:00;12.3;99.9
29/09/19;23:15:00;12.3;99.9
29/09/19;23:30:00;12.1;99.9
29/09/19;23:45:00;12.1;99.9
30/09/19;00:00:00;12;99.9
30/09/19;00:15:00;11.9;99.9
30/09/19;00:30:00;11.8;99.9
30/09/19;00:45:00;11.9;99.9
30/09/19;01:00:00;11.8;99.9
30/09/19;01:15:00;11.9;99.9
30/09/19;01:30:00;11.8;99.9
30/09/19;01:45:00;11.8;99.9
30/09/19;02:00:00;11.7;99.9
30/09/19;02:15:00;11.7;99.9
30/09/19;02:30:00;11.4;99.9
30/09/19;02:45:00;11.5;99.9
30/09/19;03:00:00;11.4;99.9
30/09/19;03:15:00;11.2;99.9
30/09/19;03:30:00;10.9;99.9
30/09/19;03:45:00;10.6;99.9
30/09/19;04:00:00;10.6;99.9
30/09/19;04:15:00;10.5;99.9
30/09/19;04:30:00;10.4;99.9
30/09/19;04:45:00;10.5;99.9
30/09/19;05:00:00;10.7;99.9
30/09/19;05:15:00;11;99.9
30/09/19;05:30:00;10.4;99.9
30/09/19;05:45:00;10.4;99.9
30/09/19;06:00:00;10.4;99.9
30/09/19;06:15:00;10.3;99.9
30/09/19;06:30:00;10.8;99.9
30/09/19;06:45:00;11.5;99.9
30/09/19;07:00:00;11.6;99.9
30/09/19;07:15:00;11.7;99.9
30/09/19;07:30:00;12.2;99.9
30/09/19;07:45:00;13.1;99.9
30/09/19;08:00:00;17.9;93.8
30/09/19;08:15:00;17.8;94
30/09/19;08:30:00;18.2;94.8
30/09/19;08:45:00;19;92.5
30/09/19;09:00:00;19.1;94.5
30/09/19;09:15:00;18.7;95.7
30/09/19;09:30:00;19.9;92.2
30/09/19;09:45:00;19.8;92
30/09/19;10:00:00;20.9;91.1
30/09/19;10:15:00;21.6;90.6
30/09/19;10:30:00;21.5;90.5
30/09/19;10:45:00;21.7;86.4
30/09/19;11:00:00;22.1;84.8
30/09/19;11:15:00;22.2;90.3
